no ,id_topeng ,nama_topeng,tahun ,lokasi ,alamat lengkap,deskripsi,latitude,longitude ,Image 
32,TP032,King Beda Ulu,1930,"Collection of the Griya Pidada Family Temple, Klungkung ",,"In this well-worn portrait of Beda Ulu, the swine-headed raja of Bali at the time of the Majapahit invasion of the island in 1342, Kerebuak has created a perfect balance between the features of a strong king and a fearsome jungle beast with a shockingly flat red nose, fangs and tusks. While disparaged as a black magician who's abuse of the dark arts resulted in his the replacement of his true visage with that of an animal, there is a tragic side to the fall of Beda Ulu, who never stood a chance against the might of a far more powerful and cunning enemy. Notably he would not perish in the war but flee in shame leaving no trace of his whereabouts.",-8.535487,115.406221,TP032.jpg
33,TP033,Raja Beda Ulu,-,"I Made Nyarikan Sriada Family Temple, Denpasar ",,"Whereas most masks depicting Beda Ulu are far more pig-like than human, in this case other than a flat snout that exposes his nostril holes and two fangs on the sides of his mouth, here the despised king of Bali defeated by the invading Majapahit army in 1343, is more of an unattractive angry man than a fearsome wild boar. What is certain is that after his defeat, the Majapahit were more than happy to paint an ugly picture of the deposed king, an uncouth and evil sorcerer who supposedly fled in shame after his subjects learned he had the head of a pig.",-8.65528,115.21734,TP033.jpg
34,TP034,"The Raja Of Bali, Sri Tapa Hulung ",1938,"Private Collection, Bali ",,"Beda Ulu, the king of Bali at the time of the Majapahit invasion in 1343, was labeled a cruel and uncivilized villain and master of the dark arts. As if that was not enough, he was also said to have the head of a wild boar from whence his nickname Beda Ulu or 'different head'. Facing overwhelming odds from an aggressive Imperial neighbor, the outcome of the conflict was never in doubt although one can suspect that the stories about Bali's last independent king were the result of propaganda. As they say, history is written by the victor.",-8.409518,115.188916,TP034.jpg
35,TP035,"Pandesa, Village Headman",1930,"Museum Sonobudoyo, Yogyakarta",,"With a white complexion, wide open eyes staring ahead with intensity flared nostrils, moustache and grinning mouth, in the original notes of the Java Institute (1919-1942), it is described as a Jauk Bendesa or Jauk who was also a village headman. In 1935 the institute's collection, which included Balinese as well as Javanese artifacts, was moved to its current location near the royal palace of the sultan of Yogyakarta. Officially named Kayu Winayangan ing Brahman Budha, this was shortened by most to Sonobudoyo. Although the Java Institute was disbanded at the time of the Japanese invasion, the responsibility for Sonobudoyo was given to local officials until 1974 when it became a national museum.",-7.802257,110.359438,TP035.jpg
36,TP036,High Priest ,1920,"Museum Bali, Denpasar",,"Bhagawan Wraspati was a Shaivite high priest whose knowledge was so great that he became teacher to the gods, or Guru Para Dewa. Living in isolation in a mountain retreat he specialized in mystical practices that released his disciples from illusion (maya) and the cycle of rebirth into a state of full realization of consciousness (moksa). Mask-maker Ida Pedanda Sidemen was also a Shaivite priest renowned for his deep wisdom and mastery of arcane magic. His masks are celebrated not only for their liveliness-seen here in the eyes full of mirth and slight smile-but also his mastery of colors in this case blue-green, the color of Siwa and bright cinnabar lips.",-8.657398,115.218579,TP036.jpg
37,TP037,Begawan Uraspati ,-,"Collection Nationaal Museum van Wereldculturen, Leiden",,"Begawan Uraspati was an enlightened saint who, as a result of his deep meditations (tapas), rose to Indraloka, the heavenly realm, where the gods themselves became his students. Here Uraspati is depicted as a forceful man with thick eyebrows and mustache. He was a devotee of Iswara (the Lord of the World), an incarnation of Siwa, with whom he shares his blue skin colour. Married to three women, he had a son called Bharadwaja, who also became a great sage. Bharadwaja in turn fathered Drona, the great warrior and preceptor of the Korawa and Pandawa brothers in the Mahabharata Epic.",52.164104,4.483984,TP037.jpg
38,TP038,Bima,1955,"Collection Sanggar Seni Kakul, Batuan",,"The son of Dewi Kunti and Bayu, the god of wind, Bima is the largest and most powerful of the Pandawa brothers, the heroes of the Mahabharata. His rough of character and quick temper, is signaled by a dark complexion, coarse features and wiry hair. Despite his fearsome exterior, which contrasted with his more civilized brothers, he was good hearted and kind. Bima is also the half-brother of Anoman, the white monkey",-8.584877,115.277934,TP038.jpg
39,TP039,"Bondres Peceng, One-Eyed Clown Mask",-,"Collection Nationaal Museum van Wereldculturen, Leiden",,"Typically for a Bondres clown, this mask twists the normal symmetry of the human face out of place. The missing eye on the right is compensated by the enormous one on the left, while the teeth are also deformed. Despite this, and perhaps aided by its flesh-colored complexion, this mask lacks the horrific aspect of many other Bondres.

According to museum notes, this mask was used by the nobles of Puri Satrya Palace in Denpasar during grand ceremonies, indicating that it was held in high esteem. Puri Satrya or Satria was the local name for Puri Agung, the main palace of Badung or Denpasar, which was destroyed with great loss of life during the Dutch colonial invasion of September 1906. Stylistically, the quality of workmanship and other clues suggest that this mask was one of a group of sacred masks that were owned by or performed in Puri Agung Badung before its destruction that ended with the looting of treasures by the Dutch as well as locals. The history of the masks after the Puputan that marked the end of the kingdom of Badung is unknown until they were accessioned to the museum in 1938.",52.164104,4.483984,TP039.jpg
40,TP040,"Bondres Gandi, Gandi, Deformed Handmaiden",-,"Private Collection, Mas",,"Blind in one eye, with a misshapen face and huge earplugs (subeng) inlaid with Chinese porcelain, Gandi falls into the archetype of the coarse comic handmaiden to a usually vacuous princess. To the delight of the audience, she fearlessly hurls insults, ribald humor and razor-sharp criticism whenever and wherever she sees fit. Her character serves as a comic counterpoint in the Calonarang story.
The use of curves and round forms in this expressive mask are the work of a true master.",-8.541481,115.27515,TP040.jpg
41,TP041,Bondres Luh Peceng,-,"Museum Bali, Denpasar",,"Another misshapen half mask of a comical maid in waiting. Half masks al-low dancers to speak unimpeded. This particular character, known as Luh Peceng, represents an eccentric woman, blind in one eye, who bears the scars of a severe case of smallpox she suffered as a young girl. Despite her physical deformities she also wears jewelry including earplugs, a red and golden hair ornament in the shape of a lotus flower and a ring of blossoms in her hair. Foul-mouthed, quick of wit and uncouth, Luh Peceng is extremely popular with audiences.",-8.657398,115.218579,TP041.jpg
